Station Name,Latitude,Longitude,Bikes Available
Bay at York,43.25906138152248,-79.87338692,10
Jackson Square,43.25693469264953,-79.86957684,7
Cannon at Steven,43.25646071175471,-79.84998129,1
Pier 4,43.27260051521549,-79.86689731,4
Ferguson at King,43.25400491861888,-79.86223564,6
Durand Park,43.24978615747242,-79.87574995,9
Cannon at East,43.25729552525069,-79.85334814,3
Strachan at Mary,43.265938747249415,-79.8604238,7
West Harbour GO Station,43.26624929442286,-79.86611009,5
James at Guise,43.27365898786445,-79.86182928,3
RBG Rock Garden,43.2894792,-79.891693,0
Pier 8,43.27528883070137,-79.85690743,2
Westinghouse at Barton - ERI13,43.25831920066756,-79.84240606,5
James at Colbourne,43.26377741,-79.86604216,10
Main at Longwood,43.25960441109783,-79.90210265,3
King William at James,43.25763541749527,-79.86848652,1
Westdale Aviary,43.26486897083389,-79.90748048,6
Hunter GO Centre,43.253329975544275,-79.86953259,3
Westdale Village,43.26201477888108,-79.90508795,11
Cannon at Ottawa,43.24756531,-79.81805027,5
